GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2022-03-04T03:33:04,-34.5698568,-58.4892363,127.4,84,0,2.62,0.000,0,,,,,,23,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3137,,,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:05,-34.5698508,-58.4891947,127.4,85,0,5.50,0.000,0,,,,,,23,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3125,,,,,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:08,-34.5697944,-58.4890839,127.2,89,0,5.50,6.750,65535,,,,,,23,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3054,,,,,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:09,-34.5697738,-58.4890503,127.0,90,0,9.26,9.641,0,,,,,,23,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3051,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:10,-34.5697562,-58.4890145,127.2,91,22,12.98,10.379,20,,,,,,23,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3050,,,,,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:11,-34.5697410,-58.4889801,127.2,92,47,16.42,10.346,48,,,,,,23,,,,,,,,,,,,,,,,68,184,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3050,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:12,-34.5697234,-58.4889486,127.4,93,58,19.83,10.613,75,,,,,,23,,,,,,,,,,,,,,,,143,170,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3050,,,,,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:13,-34.5697070,-58.4889176,127.4,94,57,23.11,11.858,90,,,,,,23,,,,,,,,,,,,,,,,233,179,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3050,,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:14,-34.5696911,-58.4888839,127.4,95,62,26.53,12.596,97,,,,,,23,,,,,,,,,,,,,,,,330,166,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3050,,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:15,-34.5696640,-58.4888481,127.2,95,65,30.94,15.149,94,,,,,,23,,,,,,,,,,,,,,,,424,176,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3049,,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:16,-34.5696418,-58.4888150,127.2,96,69,34.79,14.378,81,,,,,,23,,,,,,,,,,,,,,,,505,177,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3049,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:17,-34.5696190,-58.4887807,127.2,97,69,38.74,15.250,78,,,,,,23,,,,,,,,,,,,,,,,583,175,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3049,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-03-04T03:33:18,-34.5695877,-58.4887551,127.2,97,72,42.91,15.685,81,,,,,,23,,,,,,,,,,,,,,,,664,162,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,3049,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
